3.6774 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
173.4018 	EXP 	grating: tex = 'sin'
173.7014 	EXP 	grating: autoDraw = False
173.9030 	EXP 	window1: recordFrameIntervals = False
173.9039 	DATA 	Keypress: right
173.9181 	EXP 	fixation: autoDraw = False
173.9181 	EXP 	grating: autoDraw = False
173.9182 	EXP 	window1: recordFrameIntervals = False
174.8918 	EXP 	fixation: autoDraw = True
175.8996 	EXP 	fixation: autoDraw = False
175.9166 	EXP 	grating: autoDraw = True
175.9166 	EXP 	grating: tex = 'sin'
176.2161 	EXP 	grating: autoDraw = False
176.2840 	EXP 	window1: recordFrameIntervals = False
176.2849 	DATA 	Keypress: right
176.2993 	EXP 	fixation: autoDraw = False
176.2993 	EXP 	grating: autoDraw = False
176.2995 	EXP 	window1: recordFrameIntervals = False
177.2721 	EXP 	fixation: autoDraw = True
178.2811 	EXP 	fixation: autoDraw = False
178.2978 	EXP 	grating: autoDraw = True
178.2978 	EXP 	grating: tex = 'sin'
178.5974 	EXP 	grating: autoDraw = False
178.6989 	EXP 	window1: recordFrameIntervals = False
178.6996 	DATA 	Keypress: left
178.7141 	EXP 	fixation: autoDraw = False
178.7141 	EXP 	grating: autoDraw = False
178.7143 	EXP 	window1: recordFrameIntervals = False
179.6930 	EXP 	fixation: autoDraw = True
180.6961 	EXP 	fixation: autoDraw = False
180.7125 	EXP 	grating: autoDraw = True
180.7125 	EXP 	grating: tex = 'sin'
181.0123 	EXP 	grating: autoDraw = False
181.0800 	EXP 	window1: recordFrameIntervals = False
181.0821 	DATA 	Keypress: left
181.0953 	EXP 	fixation: autoDraw = False
181.0953 	EXP 	grating: autoDraw = False
181.0955 	EXP 	window1: recordFrameIntervals = False
182.0673 	EXP 	fixation: autoDraw = True
183.0770 	EXP 	fixation: autoDraw = False
183.0939 	EXP 	grating: autoDraw = True
183.0939 	EXP 	grating: tex = 'sin'
183.3935 	EXP 	grating: autoDraw = False
183.4614 	EXP 	window1: recordFrameIntervals = False
183.4623 	DATA 	Keypress: left
183.4767 	EXP 	fixation: autoDraw = False
183.4767 	EXP 	grating: autoDraw = False
183.4769 	EXP 	window1: recordFrameIntervals = False
184.4489 	EXP 	fixation: autoDraw = True
185.4583 	EXP 	fixation: autoDraw = False
185.4751 	EXP 	grating: autoDraw = True
185.4751 	EXP 	grating: tex = 'sin'
185.7748 	EXP 	grating: autoDraw = False
185.8932 	EXP 	window1: recordFrameIntervals = False
185.8940 	DATA 	Keypress: right
185.9080 	EXP 	fixation: autoDraw = False
185.9080 	EXP 	grating: autoDraw = False
185.9082 	EXP 	window1: recordFrameIntervals = False
186.8810 	EXP 	fixation: autoDraw = True
187.8898 	EXP 	fixation: autoDraw = False
187.9065 	EXP 	grating: autoDraw = True
187.9065 	EXP 	grating: tex = 'sin'
188.2061 	EXP 	grating: autoDraw = False
188.3074 	EXP 	window1: recordFrameIntervals = False
188.3082 	DATA 	Keypress: left
188.3228 	EXP 	fixation: autoDraw = False
188.3228 	EXP 	grating: autoDraw = False
188.3230 	EXP 	window1: recordFrameIntervals = False
189.3043 	EXP 	fixation: autoDraw = True
190.3045 	EXP 	fixation: autoDraw = False
190.3214 	EXP 	grating: autoDraw = True
190.3214 	EXP 	grating: tex = 'sin'
190.6210 	EXP 	grating: autoDraw = False
190.7058 	EXP 	window1: recordFrameIntervals = False
190.7066 	DATA 	Keypress: right
190.7209 	EXP 	fixation: autoDraw = False
190.7209 	EXP 	grating: autoDraw = False
190.7211 	EXP 	window1: recordFrameIntervals = False
191.6933 	EXP 	fixation: autoDraw = True
192.7026 	EXP 	fixation: autoDraw = False
192.7194 	EXP 	grating: autoDraw = True
192.7194 	EXP 	grating: tex = 'sin'
193.0190 	EXP 	grating: autoDraw = False
193.0704 	EXP 	window1: recordFrameIntervals = False
193.0712 	DATA 	Keypress: left
193.0856 	EXP 	fixation: autoDraw = False
193.0856 	EXP 	grating: autoDraw = False
193.0858 	EXP 	window1: recordFrameIntervals = False
194.0580 	EXP 	fixation: autoDraw = True
195.0672 	EXP 	fixation: autoDraw = False
195.0840 	EXP 	grating: autoDraw = True
195.0840 	EXP 	grating: tex = 'sin'
195.3837 	EXP 	grating: autoDraw = False
195.4685 	EXP 	window1: recordFrameIntervals = False
195.4695 	DATA 	Keypress: right
195.4836 	EXP 	fixation: autoDraw = False
195.4836 	EXP 	grating: autoDraw = False
195.4838 	EXP 	window1: recordFrameIntervals = False
196.4578 	EXP 	fixation: autoDraw = True
197.4652 	EXP 	fixation: autoDraw = False
197.4819 	EXP 	grating: autoDraw = True
197.4819 	EXP 	grating: tex = 'sin'
197.7816 	EXP 	grating: autoDraw = False
197.8829 	EXP 	window1: recordFrameIntervals = False
197.8836 	DATA 	Keypress: left
197.8981 	EXP 	fixation: autoDraw = False
197.8981 	EXP 	grating: autoDraw = False
197.8983 	EXP 	window1: recordFrameIntervals = False
198.8730 	EXP 	fixation: autoDraw = True
199.8799 	EXP 	fixation: autoDraw = False
199.8967 	EXP 	grating: autoDraw = True
199.8967 	EXP 	grating: tex = 'sin'
200.1962 	EXP 	grating: autoDraw = False
200.2480 	EXP 	window1: recordFrameIntervals = False
200.2488 	DATA 	Keypress: right
200.2629 	EXP 	fixation: autoDraw = False
200.2629 	EXP 	grating: autoDraw = False
200.2631 	EXP 	window1: recordFrameIntervals = False
